load_on_chiller,power_consumed
110.5560274,15.26421736
110.5560274,28.68276137
110.5560274,27.76962419
110.5560274,38.44321408
110.5560274,27.83752058
105.7492436,26.32440099
105.7492436,27.06987566
105.7492436,27.13638641
105.7492436,55.96879698
105.7492436,55.28290486
105.7492436,64.85491044
105.7492436,63.47342671
105.7492436,43.66430804
105.7492436,65.65858201
105.7492436,53.97070316
105.7492436,54.10233903
105.7492436,26.70129525
105.7492436,26.83154547
105.7492436,41.47222454
105.7492436,64.37686442
105.7492436,62.94411199
105.7492436,67.00958164
105.7492436,54.87136958
105.7492436,53.27234028
105.7492436,54.45290611
105.7492436,54.13975132
105.7492436,51.62897047
105.7492436,62.5422762
105.7492436,67.67468915
105.7492436,51.50149153
105.7492436,51.37401259
105.7492436,41.37107277
105.7492436,27.97331336
105.7492436,41.37107277
105.7492436,25.3156546
105.7492436,26.38814046
105.7492436,25.75213141
105.7492436,26.83154547
105.7492436,29.81621542
105.7492436,27.76962419
105.7492436,28.26706918
105.7492436,28.90307824
105.7492436,26.89667058
105.7492436,26.63617014
105.7492436,29.74277647
105.7492436,26.26066152
105.7492436,28.61347934
105.7492436,19.17449526
105.7492436,31.01756586
105.7492436,28.75204341
105.7492436,29.81621542
105.7492436,28.33635121
105.7492436,30.45361012
105.7492436,28.19778715
100.9424598,26.06944311
100.9424598,26.19692205
100.9424598,52.70561325
100.9424598,45.3437045
100.9424598,66.51075101
100.9424598,43.55622807
100.9424598,38.72172785
100.9424598,26.89667058
100.9424598,38.91294626
100.9424598,68.34395359
100.9424598,40.60481349
100.9424598,65.25813187
100.9424598,65.33295646
100.9424598,54.70370707
100.9424598,56.11844617
100.9424598,8.417766925
100.9424598,52.23033851
100.9424598,64.85491044
100.9424598,57.09947974
100.9424598,68.29545616
100.9424598,66.78095094
100.9424598,63.57042156
100.9424598,55.9798821
100.9424598,55.77896421
100.9424598,29.46980526
100.9424598,28.26706918
100.9424598,28.04120975
100.9424598,41.83526239
100.9424598,30.10997124
100.9424598,27.26940791
100.9424598,25.62742375
100.9424598,30.82773309
100.9424598,13.50168246
100.9424598,27.83752058
100.9424598,26.26066152
100.9424598,30.37878552
100.9424598,30.60325931
100.9424598,27.33591867
100.9424598,30.03653228
100.9424598,55.9798821
