%_utility ,power_1
0.41201004,28.54419731
0.291840445,29.2564166
0.669516315,51.31997261
0.806852995,65.17360779
0.24033919,55.64455706
0.6866834,57.20340279
0.58368089,29.04441358
0.30900753,30.25684915
0.257506275,38.91294626
0.257506275,26.19692205
0.291840445,28.04120975
0.24033919,27.83752058
0.48067838,27.76962419
0.51501255,27.83752058
0.37767587,28.26706918
0.41201004,27.20289716
0.75535174,56.6546891
0.703850485,59.79732208
0.669516315,55.14572643
0.72101757,69.02568878
0.257506275,28.69107522
0.27467336,18.40130778
0.291840445,20.75135432
0.291840445,18.13526478
0.429177125,25.44036226
0.37767587,28.90307824
0.257506275,13.83423621
0.27467336,14.41066272
0.41201004,28.47491528
0.291840445,19.98093812
0.257506275,19.88394327
0.27467336,19.98093812
0.326174615,13.60144858
0.37767587,26.89667058
0.257506275,26.26066152
0.3433417,25.62742375
0.429177125,28.54419731
0.291840445,18.26828628
0.41201004,27.97331336
0.30900753,18.74771794
0.394842955,26.00570365
0.37767587,26.63617014
0.3433417,25.44036226
0.394842955,29.96309333
0.37767587,29.74277647
0.291840445,19.31583061
0.27467336,18.04658377
0.27467336,27.13638641
0.394842955,25.44036226
0.360508785,26.26066152
0.37767587,26.26066152
0.37767587,28.61347934
0.37767587,19.17449526
0.37767587,31.01756586
0.360508785,30.37878552
0.360508785,30.60325931
0.360508785,27.33591867
