%utility_total,kWpT_T
0.37767587,1.203474656
0.429177125,1.014785863
0.420593583,0.993402454
0.429177125,0.991433686
0.326174615,1.263869345
0.317591073,1.326736076
0.369092328,1.127938981
0.3433417,1.25705456
0.41201004,1.033820319
0.403426498,1.26439201
0.369092328,1.225381143
0.437760668,1.292652996
0.394842955,1.107192477
0.420593583,1.043914443
0.403426498,1.056786916
0.429177125,0.99583249
0.334758158,1.041123072
0.420593583,1.049788892
0.44634421,0.991602091
0.454927753,0.972892618
0.291840445,1.526643777
0.30900753,1.163019705
0.300423988,1.258538685
0.27467336,1.442407394
0.30900753,1.255787623
0.326174615,1.107195956
0.334758158,1.054870959
0.3433417,1.023076696
0.403426498,1.076022788
0.41201004,1.052655444
0.41201004,1.067457488
0.41201004,1.059665827
0.403426498,1.127627545
0.37767587,1.205939424
0.429177125,1.362818432
0.429177125,1.354608683
0.37767587,1.276311997
0.41201004,1.088171902
0.429177125,0.961736691
0.394842955,1.061913263
0.360508785,1.261531069
0.403426498,1.03103845
0.291840445,1.4596899
0.300423988,1.670908471
0.27467336,1.514337723
0.369092328,1.590164619
0.3433417,1.744799837
0.30900753,1.977603672
0.351925243,1.307033666
0.317591073,1.18738674
0.300423988,1.15321643
0.334758158,1.326554157
0.41201004,1.173500086
0.532179635,1.073463176
0.197421478,2.620906372
0.420593583,1.255435983
0.386259413,1.14880186
0.291840445,1.565367323
0.291840445,1.978448297
0.291840445,1.686397038
0.326174615,1.7959294
0.30900753,1.873658558
0.326174615,1.032673408
0.394842955,0.870991415
0.317591073,1.078964354
0.300423988,1.094980782
0.44634421,1.179596001
0.489261923,1.094633279
0.403426498,1.270214527
0.429177125,1.409097095
0.20600502,2.855801938
0.30900753,1.483864377
0.266089818,1.798494248
0.24033919,0.814278294
0.403426498,1.375537398
0.37767587,1.594474346
0.30900753,1.608559099
0.334758158,1.391811141
0.291840445,1.182841881
0.326174615,1.437613039
0.30900753,1.544255025
0.248922733,1.570826715
0.334758158,0.453602309
0.360508785,0.6447863
0.300423988,0.725180068
0.351925243,0.607387978
0.30900753,1.108372503
0.30900753,1.173295969
0.300423988,1.128109366
0.326174615,1.357142556
0.351925243,1.368291599
0.351925243,1.670700111
0.30900753,1.878444763
0.369092328,1.697082288
0.37767587,1.406645227
0.317591073,1.444280405
0.317591073,1.389329596
0.3433417,1.463919978
0.369092328,1.503494366
0.351925243,1.59985054
0.360508785,1.574283435
0.369092328,1.589976052
0.386259413,1.409982261
0.386259413,1.608818117
0.403426498,1.553727997
0.360508785,1.527418844
0.360508785,1.665502874
0.386259413,1.557622614
0.394842955,1.402950579
0.291840445,1.434410788
0.24033919,2.136779182
0.334758158,1.355063481
0.300423988,1.766124191
0.326174615,1.357142556
0.334758158,1.487812455
0.30900753,1.714137154
0.369092328,1.457059664
0.403426498,1.554482768
0.326174615,1.438973329
0.3433417,1.355419522
0.326174615,1.348020612
0.317591073,1.392205884
0.41201004,1.395023962
