%utility_1 ,kWpT_1
0.497845465,1.313140535
0.463511295,1.134612169
0.600847975,1.251820301
0.497845465,1.025642024
0.54934672,0.928157801
0.51501255,0.971487035
0.566513805,0.885350699
0.360508785,0.936857433
0.532179635,0.979284826
0.54934672,0.924547032
0.497845465,1.034763968
0.30900753,1.697638823
0.3433417,0.994900025
0.326174615,1.115437713
0.291840445,1.332876993
0.326174615,1.145630814
0.3433417,0.999765061
0.37767587,0.887777074
0.37767587,0.892107694
0.497845465,1.048604159
0.51501255,1.00219758
0.51501255,1.013650687
0.51501255,1.006251777
0.51501255,1.037536667
0.463511295,1.151504658
0.58368089,1.328047728
0.58368089,1.328047728
0.48067838,1.193345744
0.51501255,1.036354192
0.54934672,0.919764346
0.497845465,0.990831847
0.41201004,1.654957135
0.360508785,1.355405043
0.3433417,1.558332099
0.30900753,2.077776131
0.30900753,2.131325321
0.3433417,2.44468099
0.360508785,2.380537796
0.326174615,2.650804917
0.44634421,1.504419071
0.360508785,1.414335697
0.188837935,1.771223529
0.37767587,1.378887796
0.154503765,2.087686392
0.257506275,1.258828271
0.154503765,2.175414717
0.154503765,2.186000677
0.188837935,2.768279649
0.27467336,1.943164111
0.326174615,2.042301905
0.326174615,2.00922819
0.360508785,2.273053303
0.37767587,2.140431908
0.17167085,1.892904733
0.27467336,1.231462439
0.257506275,1.283018315
0.188837935,1.675120624
0.13733668,2.487250062
0.27467336,1.165898466
0.13733668,2.420355806
0.13733668,2.495611844
0.154503765,5.28363267
0.3433417,1.997959122
0.24033919,2.89817192
0.188837935,0.866768961
0.37767587,2.09279509
0.37767587,2.227965714
0.360508785,2.275659573
0.394842955,1.901727019
0.17167085,1.938818518
0.360508785,1.905424481
0.360508785,1.954702284
0.223172105,2.379891798
0.3433417,0.38707449
0.3433417,0.370350926
0.3433417,0.308625772
0.360508785,0.293205343
0.188837935,1.729299443
0.326174615,1.519790552
0.188837935,1.729299443
0.3433417,1.892904733
0.30900753,2.059870093
0.326174615,2.579749774
0.27467336,3.063452857
0.3433417,2.552877381
0.37767587,1.824388798
0.3433417,1.965474865
0.360508785,1.819272787
0.41201004,1.612810375
0.3433417,2.302074599
0.3433417,2.31925426
0.3433417,2.345555865
0.360508785,2.259008405
0.394842955,2.148856787
0.394842955,2.161239716
0.44634421,1.954006165
0.360508785,1.988873376
0.360508785,2.378848547
0.360508785,2.326095718
0.394842955,1.996824387
0.326174615,2.06379982
0.20600502,3.880373619
0.37767587,1.771223529
0.188837935,3.759346615
0.3433417,1.892904733
0.326174615,2.52773869
0.3433417,2.546542698
0.3433417,2.574415304
0.3433417,2.614146438
0.37767587,1.81047553
0.37767587,1.800063614
0.394842955,1.633841524
0.37767587,1.716584006
0.360508785,2.214267442
